#=#=#=# Syncrun started  2022-01-25T04:44:37Z 
#=#=#=#=# Propagation starts 2022-01-25T04:44:40Z (last step: 2947 msec , total: 2947 msec) 
2022-01-25T04:44:40Z | Test_servo/test_servo_spindle.hal | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1629623205 | d1cb5abcbedc2b35ca76afbec156d25b | 14290 | 00273182ocestnb39k0x | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | c4d2dc77-fc9b-4d52-893a-193616cae5d9 | 
2022-01-25T04:44:40Z | Test_servo/test_servo_spindle.ini | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1629624344 | bc524421dfeb59733cee3daaa27eadda | 5232 | 00273184ocestnb39k0x | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 4d7520da-9b27-4b00-980a-8538ec088106 | 
 | Test_servo | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1630563821 | 61306dfa17311 | 0 | 00273174ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2022-01-25T04:44:40Z | nc_files/remap-subroutines/prepare.ngc | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1588370149 | 3b288b6c34177137d4ddf594dc8af9c9 | 303 | 00273296ocestnb39k0x | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | f3462f10-27e0-4b38-8995-2fb0bc32fa9a | 
2022-01-25T04:44:40Z | nc_files/remap-subroutines/change.ngc | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1588370149 | 300bb6971931fcc1c7a255fc4378a33c | 340 | 00273293ocestnb39k0x | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 7b0af730-d5e0-4a86-a6b4-66a1bff8ef66 | 
 | nc_files/remap-subroutines | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Down | | 1630564830 | 613071ef3ebf9 | 0 | 00273183ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
2022-01-25T04:44:40Z | python/__pycache__ | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1642404792 |  | 4096 |  | OCC::SyncFileItem::NormalError | Server replied "403 Forbidden" to "MKCOL https://snaggingpixels.com/remote.php/dav/files/bruce/Shares/CNC Files/Bruce's setup/Mesa DIR/python/__pycache__" | 403 | 0 | 0 | b349df21-a5c9-4d53-a746-62d6546705cc | 
#=#=#=# Syncrun finished 2022-01-25T04:44:42Z (last step: 1980 msec , total: 4927 msec) 
#=#=#=# Syncrun started  2022-01-25T04:44:45Z 
#=#=#=#=# Propagation starts 2022-01-25T04:44:46Z (last step: 866 msec , total: 866 msec) 
#=#=#=# Syncrun finished 2022-01-25T04:44:46Z (last step: 59 msec , total: 925 msec) 
